"Code","Course name","Course attributes","Course description","Course number","Course subject code","PeopleSoft course ID","PeopleSoft Equivalent Course Group","Topic","Twin Cities: Approved Liberal Education Requirement(s)","Twin Cities: This course is approved as Writing Intensive"
"AAS3361","Asian Americans and Food","-","Asian Americans have always been intimately connected to food practices and institutions in the American imagination. Food is the medium through which Asian American cultural difference—including their status as ""perpetual foreigners"" or their ""model minority character""—are typically expressed and disseminated. Historically, Asian migration to the United States was fueled by labor needs particularly in the agricultural sector. In addition, Asian labor has been stereotypically linked to food service and preparation such as the ubiquitous Chinese take-out place and more recently, the sushi and Korean fusion joints. This course is an introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, homes, and other public venues.  The course texts include ethnographic essays, fictional works, memoirs, magazines, and television shows.","3361","AAS","818159","02691","-","-","No"
"AAS3409W","Asian American Women's Cultural Production","CLE - WI (Writing Intensive), CLE - AH (Arts/Humanities), CLE - DSJ (Race, Power, and Justice US)","This course explores cultural texts produced by and about Asian American women and queers. It wrestles with the complexities of a historical moment in which Asian American women are both increasingly visible in pop culture and increasingly visible targets of violence. We will push beyond judgments of “positive” or “negative” representations of Asian Americans and instead explore the political dimensions of these cultural representations—that is, how they animate, reference, or repress longer histories of migration, war, labor, and empire. We will approach the categories of both “Asian American” and “women” less as static identities and more as shifting political coalitions that bring together diverse groups of people whose experience of gender, sexuality, race, and class deviates from the norm of white, heterosexual, and cisgender American citizenship. In tracking (and at times celebrating) these deviations, we will ask: how might film, TV, literature, art, and theory help illuminate Asian American feminist politics?","3409W","AAS","797461","03215","-","Arts/Humanities, Race, Power, and Justice in the United States","Yes"
"AAS3483","Hmong History Across the Globe","-","Hmong interaction with lowland Southeast Asian states (Laos, Vietnam) and Western colonial powers (French, American) since 19th century. Changes to religious, social, political, and gender institutions. Aspirations for political autonomy.","3483","AAS","805604","02422","-","-","No"
"AAS3486","Hmong Refugees from the Secret War:  Becoming Americans","-","Socio-economic, political, gender, cultural/religious changes in Hmong American community during last three decades. How Hmong are racialized in American society. Impact to first/second generations.","3486","AAS","810632","02097","-","-","No"
"AAS3503","Asian American Identities, Families, & Communities","CEL - RESEARCH (Research), CEL - SERV-LRNG (Service-Learning), CLE - DSJ (Diversity and Soc Justice US), CLE - SOCS (Social Sciences)","This course provides a sociological overview of Asian American identities, families and communities. To place these experiences within a broader historical, structural, and cultural context the course will begin with a brief introduction to the history of Asians and Asian Americans in the United States and sociological theories about incorporation and racial stratification. We will then examine the diversity of Asian American communities and families, highlighting ethnic, gender, and class variations. Other topics of focus include racialization and discrimination, education, ethnic enclaves, family and intergenerational relationships, identity, media, culture, and politics and social action. Throughout the course we will consider the ways in which society affects individuals, and how in turn, individuals affect society. Students will have an option to do community-engaged learning or another course project.","3503","AAS","810666","02098","-","Social Sciences, Race, Power, and Justice in the United States","No"
"AAS3601W","War and Empire: Asian American Perspectives","CLE - WI (Writing Intensive), CLE - GP (Global Perspectives)","This course examines the reach of war and empire in Asian America since the turn of the twentieth century. Starting with US wars in the Philippines (1898-1910) and the formation of the colonial state, the course will track the ascendancy of US empire in Asia and paths toward wars against imperialist Japan (1941-1945), in Korea (1950-53), and in Vietnam (1955-1975). The course will address the relevance of the unending Global War on Terrorism (2001-) in contemporary Asian America. Together, the course explores how these wars have shaped and continue to inform the lives and memories of Asian immigrants and refugees, their children, and other Asian Americans.","3601W","AAS","817961","-","-","Global Perspectives","Yes"
"AAS3862","American Immigration History","CLE - HIS (Historical Perspectives), CLE - DSJ (Race, Power, and Justice US)","The United States has frequently been called a “nation of immigrants,” yet despite this celebratory view of the U.S.’s immigrant origins, present-day immigration often provokes fear, anxiety, and resistance. Indeed, immigrants have rarely been truly welcomed in any historical era. This course will examine the history of immigration to, and migration within, the United States from the colonial era to the present, including forced migrations, such as the African slave trade.

We will consider the full range of the migration experience, including what compelled or inspired people to leave their homelands, the means of their migration, and how they settled in their new homes. In addition, we will look at the cultural transformations precipitated by immigration including the creation of ethnic identities, assimilation, and transculturation. Various forms of nativist sentiment and practice will be addressed, as well as migrant and ethnic resistance to nativism, racism, and exploitation.","3862","AAS","807822","01887","-","Historical Perspectives, Race, Power, and Justice in the United States","No"
"AAS3875W","Comparative Race and Ethnicity in U.S. History","CLE - DSJ (Diversity and Soc Justice US), CLE - WI (Writing Intensive), CLE - HIS (Historical Perspectives)","This writing-intensive course examines the racial history of modern America. The focus is placed on how American Indians, African Americans, and immigrants from Europe, Asia, and Latin America struggle over identity, place, and meanings of these categories in society where racial hierarchy not only determined every aspect of how they lived, but also functioned as a lever to reconstitute a new nation and empire in the aftermath of the Civil War. We are interested in studying how these diverse groups experienced racialization not in the same way but in various and distinct ways in relation to each other.","3875W","AAS","804789","02074","-","Historical Perspectives, Race, Power, and Justice in the United States","Yes"
"AAS3877","Asian American History, 1850 to Present","CLE - DSJ (Diversity and Soc Justice US), CLE - HIS (Historical Perspectives)","Asian American history and contemporary issues, from 1850 to present. Immigration, labor, anti-Asian movements, women/families, impact of World War Two, new immigrant/refugee communities, civil rights, Asian American identity/culture.","3877","AAS","797463","01066","-","Historical Perspectives, Race, Power, and Justice in the United States","No"
"AAS3920","Topics in Asian American Studies","CEL - FIELD STDY (Field Study), CEL - INTRN COOP (Internship/Co-op), CEL - PRACTICUM (Practicum), CEL - RESEARCH (Research), TOP - TOPICS (Topics Course), CEL - SERV-LRNG (Service-Learning)","Topics specified in Class Schedule.","3920","AAS","797452","-","-","-","No"
"AAS3993","Directed Studies in Asian American Studies","-","Guided individual reading or study.

prereq: instr consent","3993","AAS","797451","-","-","-","No"
"AAS4231","Color of Public Policy: African Americans, American Indians, Asian Americans & Chicanos in the U.S.","-","Structural or institutional conditions through which people of color have been marginalized in public policy. Critical evaluation of social theory in addressing the problem of contemporary communities of color in the United States.","4231","AAS","797490","01013","-","-","No"
"AAS4232","American Drama by Writers of Color","-","Selected works by Asian American, African American, American Indian, Latino, and Chicano playwrights. How racial/ethnic differences are integral to shaping different visions of American drama. History of minority/ethnic theaters, politics of casting, mainstreaming of the minority playwright.","4232","AAS","806339","01811","-","-","No"
"AAS4311","Asian American Literature and Drama","CLE - DSJ (Diversity and Soc Justice US), CLE - LITR (Literature)","Literary/dramatic works by Asian American writers. Historical past of Asian America through perspective of writers such as Sui Sin Far and Carlos Bulosan. Contemporary artists such as Frank Chin, Maxine Hong Kingston, David Henry Hwang, and Han Ong. Political/historical background of Asian American artists, their aesthetic choices.","4311","AAS","797453","01865","-","Literature, Race, Power, and Justice in the United States","No"
"AAS5993","Directed Readings","-","Directed reading--must be set up with individual instructor.","5993","AAS","806141","-","-","-","No"
"ABUS3029W","Writing Workshop for Applied & Professional Studies Majors","CLE - WI (Writing Intensive)","Writing is omnipresent throughout Applied and Professional Studies (APS) courses; nearly all require some form of written product and assess students in some way through their writing ability. Focusing on in-depth instruction, constructive feedback, and hands-on experience, this 7-week writing workshop is designed for students who find themselves struggling with writing concepts in their other classes or who want more writing practice to refine and hone their existing skills. Students will learn to understand writing expectations in their disciplines and develop techniques for brainstorming, organizing, outlining, and researching. Students will also practice the drafting process, focusing on mastering business grammar, avoiding common mistakes, and cultivating a clear and concise style. Students will learn the components of clear structure such as transitioning between ideas, logical organization, and integrating research. Students will also develop reliable editing techniques to test their own writing for clarity, logic, and appropriate tone, as well as methods for thinking through critical feedback and incorporating changes into revisions of existing documents.   Students must be enrolled in a CCAPS undergraduate major (premajor status is allowed). ","3029W","ABUS","819055","-","-","-","Yes"
"ABUS3051","Career Search for the Professional Environment","ONL - ONLINE (Online may be available)","An introduction to the nuts and bolts of job search strategies, including résumé writing, interviewing, networking, and the use of technology and the Internet in job seeking. You will begin to make realistic decisions about what kinds of jobs and work environments will best suit you after graduation and into the future, and formulate a concrete plan for how to attain this important career goal. In addition, you will have an understanding of the professional environment of business. This will include appropriate on-the-job behavior and how knowledge of corporate culture, communication, and etiquette can make the difference between struggling in the business world and succeeding and advancing. Professional presentation, dress, and communication are highlighted. Assignments will focus on practical and applied knowledge relating to career-oriented skills, exploration, and success. Prerequisites: None, but upper-division status recommended.","3051","ABUS","805356","-","-","-","No"
"ABUS3052","Career Building in the Remote Gig Economy","ONL - ONLINE (Online may be available)","Businesses are shifting from full-time permanent employment models to a greater reliance on short-term contract work and freelance projects. This trend is referred to as the emerging ""gig economy."" Already, more than one in three people earn a full or partial income from leveraging this evolving marketplace. In 2019, Amazon announced plans to hire over a thousand remote customer service reps. Technical coders, freelance photographers, consultants, bloggers, rideshare contractors, career coaches, and online affiliate marketers are just a few among many remote gig opportunities experiencing rapid growth. This course examines the structure of a remote gig economy and corresponding career opportunities. Students will develop a deep understanding of the current gig landscape, develop initiatives and self-direction tactics to meet its needs, and leave armed to succeed in a growing remote gig economy. Activities are centered around obtaining work in the gig economy and being an exceptional remote ""gigger"" as an individual contributor. Additionally, students will learn how to parlay those talents into endless career path opportunities, including leadership and management roles in a quickly evolving, exciting workplace.

Prerequisites: None","3052","ABUS","819857","-","-","-","No"
"ABUS3053","Planning Your Financial Future","ONL - ONLINE (Online may be available)","The focus of this course is financial literacy and financial well-being. This course will provide a personal financial foundation from your first day on the job through retirement. Basic financial information will help you decide how to participate in employee benefits tailored to your goals. You will explore your risk tolerance and creditworthiness. You will complete a personal budgeting and retirement plan using the tools and resources provided. ","3053","ABUS","827785","-","-","-","No"
"ABUS3201","Digital Design Strategies for Small Business","ONL - ONLINE (Online may be available)","Basics of multi-platform strategies to promote small businesses or a personal brand. Primary concepts include developing a cross-platform digital presence, creating brand identity, analyzing strategy effectiveness, and researching the competition. Students will work to develop a complete digital strategy for their own small business or personal brand by working both individually and in groups to find creative solutions for reaching their target audience in today's market. 
Prerequisites:  None.","3201","ABUS","819721","-","-","-","No"
"ABUS3301","Introduction to Quality Management","ONL - ONLINE (Online may be available)","Principles/concepts of managing quality in business applications. Improving business processes with six sigma method. Implementing/leading process improvement. Baldrige Award, ISO 9000.

prereq: Introductory statistics","3301","ABUS","801333","-","-","-","No"
"ABUS3510","Communicating Virtually Across Global Teams in Applied Business Settings","ONL - ONLINE (Online may be available)","Collaborative exploration of virtual communication within teams/across cultures. Impact of technologies on global business/societies. Virtual team functioning/dynamics. Influence of cultural perspective on communication within  group. Role of communication technology in cultural development. Ethical/legal implications.","3510","ABUS","811497","-","-","-","No"
"ABUS3950","Special Topics in Applied Business","ONL - ONLINE (Online may be available), TOP - TOPICS (Topics Course)","Management issues in a changing workplace. Topics vary.

prereq: At least 45 cr","3950","ABUS","015096","-","-","-","No"
"ABUS4013W","Legal, Ethical, and Risk Issues for Managers","ONL - ONLINE (Online may be available), CLE - WI (Writing Intensive)","Key legal, ethical, and risk frameworks in business activity and civic life. Students will identify areas of exposure within their specific industry and learn about best practices to minimize legal liability and manage risk. The writing-related instruction is designed to develop effective management-level communication skills regarding legal, ethical, and other risks and to develop a thoughtful analytical approach to addressing real-world risks.
  
prereq: CMgt 4011 recommended for CMgt students, 45 semester credits","4013W","ABUS","811449","02147","-","-","Yes"
"ABUS4022W","Strategic Management and Leadership","ONL - ONLINE (Online may be available), CLE - WI (Writing Intensive)","Demands on today's managers, with a focus on small to medium-sized organizations. Techniques/ideas beyond traditional studies. Applying management theory at all levels. Managing in a global workplace. Organizational planning and decision making. Organizing resources. Leading/motivating people. Controlling/evaluating organizational activities. This writing intensive designated course will spend significant time focusing on the writing process. Writing is crucial to this discipline because clear, accurate, and professional communication is essential to organization management. The ability to write effectively in terms of specified audiences ensures, in the professional world, successful communication between team members as well as the success of the projects, companies, and employees they represent.

prereq: 45 semester credits recommended","4022W","ABUS","015083","-","-","-","Yes"
"ABUS4023W","Communicating for Strategic Results","ONL - ONLINE (Online may be available), CLE - WI (Writing Intensive)","Aspects of communication essential for being persuasive/influential. Organizing/presenting ideas effectively, strategies for audience analysis, choosing communication methods, making appropriate use of informal influence methods, handling dissent. Processes for intercultural communication. The primary goal of the course is to learn to communicate more effectively, both in the workplace and in personal life. We usually take communicating with others for granted, but in this course, we will focus on principles that will help convey ideas  in a more concise, concrete, and clear manner. Students will learn by doing how to break old habits and acquire new ones. This will involve a lot of writing, working with a team of peers and learning from each other as well as the instructor. The entire approach to the class is collaborative.

prereq: 45 cr recommended","4023W","ABUS","015084","-","-","-","Yes"
"ABUS4026","Guiding Public Perception in Business","ONL - ONLINE (Online may be available)","A wise person once said, “Advertising is telling about yourself; public relations is having others tell about you.” So, how are you going to get others to tell positive stories about your organization, whether it be a large company, a small start-up, or a government? Of course you will use both traditional and nontraditional tools. But first, you must craft a story. This course is about how you craft stories, and where you tell them, to create an optimal effect.","4026","ABUS","827570","-","-","-","No"
"ABUS4027","Core Technologies for the Business Professional","ONL - ONLINE (Online may be available)","Unlock the future of business with this dynamic, real-world course that dives into the game-changing software and technological innovations revolutionizing today’s industries. Discover how emerging technologies are reshaping business strategies, streamlining processes, and driving competition to new heights. Through immersive activities, you’ll master the practical applications of cutting-edge tools, including:
•	Process Automation—Slash inefficiencies and boost productivity.
•	Business Intelligence & Data Analytics—Turn data into actionable insights.
•	Customer Relationship Management—Build lasting connections with clients.
•	Project Management—Lead teams to success with seamless organization.
•	Finance, Accounting, & Business Planning—Plan and profit like a pro.
•	Collaboration & Communication—Work smarter with next-gen tools.
•	Artificial Intelligence & Machine Learning—Harness the power of tomorrow’s tech today.

Get ready to step into the workforce with confidence, armed with the skills to thrive from day one. This course isn’t just a class—it’s your launchpad to a career where you’ll shape the future of business.","4027","ABUS","827569","-","-","-","No"
"ABUS4028","Introduction to Excel Analytics for Business Decision-Making","ONL - ONLINE (Online may be available)","This is an introductory, overview course in data analytics and its core themes. Designed specifically for business professionals who are new to data analysis or who have never used Excel to parse and understand business data. This approachable, hands-on course offers guided, step-by-step instruction on using Microsoft Excel as a powerful tool for making informed, real-world decisions. You’ll explore the four key functions of data analytics—description, diagnosis, prediction, and prescription (what should we do next?) through engaging conversations, quizzes, reflective writing, and a phased, practical final project (instead of a final exam). This course is crafted to help you connect data to decisions in ways that support your work or personal goals, all without requiring any previous experience with analytics or Excel.","4028","ABUS","827784","-","-","-","No"
"ABUS4041","Dynamics of Leadership","ONL - ONLINE (Online may be available)","Successful leadership via flexible approach. Knowledge, skills, and abilities that leaders develop from eight leadership strategies: academic, bureaucratic, eclectic, economic, fellowship, military, political, social. Ways to lead diverse populations in a global environment.

prereq: 45 cr completed","4041","ABUS","015090","-","-","-","No"
"ABUS4043","Project Management in Practice","ONL - ONLINE (Online may be available)","Introduction to project management: tools and techniques for defining, scheduling, and managing a project. Learn about team development and ways to enhance team performance through planning and executing a project. Requires use of MS Project, which will be made available to students without cost via download.

prereq: 45 cr completed","4043","ABUS","015087","-","-","-","No"
"ABUS4101","Accounting and Finance for Managers","ONL - ONLINE (Online may be available)","Cost accounting concepts. Cost behavior. Management decision making using cost data. Time value of money. Cost of capital. Capital budgeting techniques. Financial statement analysis. Assignments draw on business/industry examples.

prereq: Financial accounting, 45 cr","4101","ABUS","015093","01315","-","-","No"
"ABUS4104","Management and Human Resource Practices","ONL - ONLINE (Online may be available)","Providing day-to-day leadership. Organizing work, motivating employees. Delegating, coordinating, and achieving results. Front line human resource practices, including selection, induction, and training of new employees, employee appraisal. Handling grievances/discipline.

prereq: 45 cr completed","4104","ABUS","015092","-","-","-","No"
"ABUS4105","Becoming an Authentic Leader in an Applied Business Setting","ONL - ONLINE (Online may be available)","Students will gain proficiency in various leadership modalities within a self-reflective framework. They will learn to build their own authentic leadership capabilities as well as assess those of fellow leaders across individual, group, and organization levels. Assignments will examine temperament and decision-making, goal setting and personal beliefs, change-making and coping with pressure, and developing personal strengths and professional authenticity.

Prerequisites:  None","4105","ABUS","819726","-","-","-","No"
"ABUS4106","Scandals versus Best Practices: Business Ethics in the Real World","ONL - ONLINE (Online may be available)","This course focuses on the impact of business ethics decisions with the goal of helping students develop a personal business ethics philosophy. Decisions are explored by studying current real-world cases embodying particular business constructs: stakeholders, corporate responsibility, sustainability, information sharing, organizational culture, global business, and leadership. Students will evaluate important historical decision-making variables and develop their own set of values. The course will go beyond theory to examine the ways that ethical decisions both challenge and benefit businesses, looking at both poor (scandals) versus good (best practices) decision-making.","4106","ABUS","826901","-","-","-","No"
"ABUS4107","The Trauma-Informed Workplace","ONL - ONLINE (Online may be available)","A global pandemic, civil uprising, police-based violence, economic and climate instability are things that impact all of us. The ability to sustain oneself and better understand the “why” of the behavior of those around us is of critical importance to bridge gaps of connection and build workplace relationships in support of a healthy and productive organizational culture. Leaders and managers who understand the mental, emotional, and physical symptoms that indicate a lack of focus can create work environments that better engage and support employees. This course assists leaders and managers in understanding the science of stress responses in themselves and their employees to create trauma-informed workplaces. ","4107","ABUS","827568","-","-","-","No"
"ABUS4108","Personal Ethics and Decision Making","ONL - ONLINE (Online may be available)","This course focuses on personal ethical decision-making and applies ethical concepts to decisions we make in our personal and professional lives. It explores why ethical thinking is valuable through recognizing ethical dilemmas in real life. It will look at underlying core values, ethical principles, ethical paradigms, and the difference between right versus wrong and right versus right thinking. Students will work with a checklist for ethical decision-making and learn to recognize ethical characteristics in their organizations.","4108","ABUS","827571","-","-","-","No"
"ABUS4151","Innovation for Leaders and Organizations","ONL - ONLINE (Online may be available)","Innovation as cornerstone of knowledge economy. History of innovation process, importance to individuals/organizations. Strategies to foster innovation. Responsibilities in innovation skill-building/leadership.

prereq: 45 cr","4151","ABUS","802805","-","-","-","No"
"ABUS4211","Facility Asset Management, Finance, and Budgeting","ONL - ONLINE (Online may be available)","Examination of different types of leases. Relevance of BOMA (Building Office & Managers Association) space standards. Understanding components of total annual and capital facility costs. Analyzing and interpreting facility financial statements and reports. Constructing facility capital and operating budgets. Illustrating GAAP (generally accepted accounting principles) related to asset capitalization, and applying financial terminology when speaking to the chief financial officer.

Recommended prereq: ABUS 4101 or basic accounting/finance knowledge/experience","4211","ABUS","808503","-","-","-","No"
"ABUS4213","Owning and Managing a Building","ONL - ONLINE (Online may be available)","Buildings, like the people they serve, grow old and need maintenance along their life cycle, and sometimes even major change. In this course, students will learn what it takes to manage a building, including the operation and maintenance of building systems such as the exterior envelope and electrical, mechanical, and plumbing systems. Critical spaces, fire/life safety systems, utilities, and maintenance for specific building systems will also be addressed.

Recommended Prereq: Completion of 30 credits","4213","ABUS","808521","-","-","-","No"
"ABUS4217","Real Estate Development: Process and Tools","ONL - ONLINE (Online may be available)","Real estate development creates and alters our built environment. Working with architects, engineers, contractors, financing teams, government, and a host of consultants, real estate developers transform ideas into buildings, and with this, the spaces in which we live, work, and play. So, how do developers identify good and bad opportunities, and then, once committed, manage a wide group of stakeholders, often with disparate interests, to get the project completed and operating as planned? It is a challenge every step of the way, with a myriad of risks and obstacles to overcome, but with significant potential rewards. This course traces the development process from beginning to end, introducing foundational knowledge in project feasibility analysis and financial modeling, and integrating real world examples via case studies and interviews with Twin Cities-based practitioners.

Prereq: 30 credits.  Familiarity with finance and accounting concepts helpful.","4217","ABUS","808498","-","-","-","No"
